,Sector,Antwoord_reclass,Question_label,Aantal_tot,totaal
1,Jagers,Belangrijk,Beschikbaarheid wildbraad,224,314
2,Jagers,Belangrijk,Gezondheidsrisico mensen,233,314
3,Jagers,Belangrijk,Gezondheidsrisico vee,268,314
4,Jagers,Belangrijk,Inkomsten toerisme,127,314
5,Jagers,Belangrijk,Landbouwschade,298,314
6,Jagers,Belangrijk,Mogelijkheid tot waarnemingen,128,314
7,Jagers,Belangrijk,Negatieve impact andere soorten,235,314
8,Jagers,Belangrijk,Negatieve impact ecosysteem,228,314
9,Jagers,Belangrijk,Negatieve impact jacht,140,314
10,Jagers,Belangrijk,Positieve impact andere soorten,167,314
11,Jagers,Belangrijk,Positieve impact ecosysteem,192,314
12,Jagers,Belangrijk,Positieve impact jacht,244,314
13,Jagers,Belangrijk,Risico onveilige ontmoeting,168,314
14,Jagers,Belangrijk,Schade private eigendommen,230,314
15,Jagers,Belangrijk,Schade publieke eigendommen,209,314
16,Jagers,Belangrijk,Verkeersveiligheid,272,314
17,Jagers,Belangrijk,Verlies toerisme,131,314
18,Landbouwers,Belangrijk,Beschikbaarheid wildbraad,43,194
19,Landbouwers,Belangrijk,Gezondheidsrisico mensen,174,194
20,Landbouwers,Belangrijk,Gezondheidsrisico vee,188,194
21,Landbouwers,Belangrijk,Inkomsten toerisme,71,194
22,Landbouwers,Belangrijk,Landbouwschade,189,194
23,Landbouwers,Belangrijk,Mogelijkheid tot waarnemingen,76,194
24,Landbouwers,Belangrijk,Negatieve impact andere soorten,117,194
25,Landbouwers,Belangrijk,Negatieve impact ecosysteem,112,194
26,Landbouwers,Belangrijk,Negatieve impact jacht,67,194
27,Landbouwers,Belangrijk,Positieve impact andere soorten,61,194
28,Landbouwers,Belangrijk,Positieve impact ecosysteem,62,194
29,Landbouwers,Belangrijk,Positieve impact jacht,85,194
30,Landbouwers,Belangrijk,Risico onveilige ontmoeting,153,194
31,Landbouwers,Belangrijk,Schade private eigendommen,161,194
32,Landbouwers,Belangrijk,Schade publieke eigendommen,152,194
33,Landbouwers,Belangrijk,Verkeersveiligheid,178,194
34,Landbouwers,Belangrijk,Verlies toerisme,100,194
35,Natuurvereniging,Belangrijk,Beschikbaarheid wildbraad,30,130
36,Natuurvereniging,Belangrijk,Gezondheidsrisico mensen,62,130
37,Natuurvereniging,Belangrijk,Gezondheidsrisico vee,62,130
38,Natuurvereniging,Belangrijk,Inkomsten toerisme,29,130
39,Natuurvereniging,Belangrijk,Landbouwschade,81,130
40,Natuurvereniging,Belangrijk,Mogelijkheid tot waarnemingen,48,130
41,Natuurvereniging,Belangrijk,Negatieve impact andere soorten,75,130
42,Natuurvereniging,Belangrijk,Negatieve impact ecosysteem,80,130
43,Natuurvereniging,Belangrijk,Negatieve impact jacht,26,130
44,Natuurvereniging,Belangrijk,Positieve impact andere soorten,82,130
45,Natuurvereniging,Belangrijk,Positieve impact ecosysteem,89,130
46,Natuurvereniging,Belangrijk,Positieve impact jacht,26,130
47,Natuurvereniging,Belangrijk,Risico onveilige ontmoeting,56,130
48,Natuurvereniging,Belangrijk,Schade private eigendommen,60,130
49,Natuurvereniging,Belangrijk,Schade publieke eigendommen,55,130
50,Natuurvereniging,Belangrijk,Verkeersveiligheid,89,130
51,Natuurvereniging,Belangrijk,Verlies toerisme,33,130
52,Jagers,Onbelangrijk,Beschikbaarheid wildbraad,29,314
53,Jagers,Onbelangrijk,Gezondheidsrisico mensen,28,314
54,Jagers,Onbelangrijk,Gezondheidsrisico vee,17,314
55,Jagers,Onbelangrijk,Inkomsten toerisme,60,314
56,Jagers,Onbelangrijk,Landbouwschade,7,314
57,Jagers,Onbelangrijk,Mogelijkheid tot waarnemingen,75,314
58,Jagers,Onbelangrijk,Negatieve impact andere soorten,22,314
59,Jagers,Onbelangrijk,Negatieve impact ecosysteem,29,314
60,Jagers,Onbelangrijk,Negatieve impact jacht,64,314
61,Jagers,Onbelangrijk,Positieve impact andere soorten,48,314
62,Jagers,Onbelangrijk,Positieve impact ecosysteem,42,314
63,Jagers,Onbelangrijk,Positieve impact jacht,17,314
64,Jagers,Onbelangrijk,Risico onveilige ontmoeting,51,314
65,Jagers,Onbelangrijk,Schade private eigendommen,32,314
66,Jagers,Onbelangrijk,Schade publieke eigendommen,41,314
67,Jagers,Onbelangrijk,Verkeersveiligheid,14,314
68,Jagers,Onbelangrijk,Verlies toerisme,63,314
69,Landbouwers,Onbelangrijk,Beschikbaarheid wildbraad,82,194
