CODE;NAMDGM;NAMFGM;NAMFGM_k
2321;MEER;HOOGSTRATEN;Hoogstraten
2328;MEERLE;HOOGSTRATEN;Hoogstraten
2382;POPPEL;RAVELS;Ravels
2910;ESSEN;ESSEN;Essen
2322;MINDERHOUT;HOOGSTRATEN;Hoogstraten
2920;KALMTHOUT;KALMTHOUT;Kalmthout
2381;WEELDE;RAVELS;Ravels
2990;WUUSTWEZEL;WUUSTWEZEL;Wuustwezel
2990;LOENHOUT;WUUSTWEZEL;Wuustwezel
2320;HOOGSTRATEN;HOOGSTRATEN;Hoogstraten
2323;WORTEL;HOOGSTRATEN;Hoogstraten
2330;MERKSPLAS;MERKSPLAS;Merksplas
2380;RAVELS;RAVELS;Ravels
2387;BAARLE-HERTOG;BAARLE-HERTOG;Baarle-hertog
2300;TURNHOUT;TURNHOUT;Turnhout
2370;ARENDONK;ARENDONK;Arendonk
2310;RIJKEVORSEL;RIJKEVORSEL;Rijkevorsel
2960;SINT-LENAARTS;BRECHT;Brecht
2040;ZANDVLIET - KERN;ANTWERPEN;Antwerpen
2960;BRECHT;BRECHT;Brecht
2000;SCHELDE;ANTWERPEN;Antwerpen
2360;OUD-TURNHOUT;OUD-TURNHOUT;Oud-turnhout
2950;KAPELLEN (KAPELLEN);KAPELLEN;Kapellen
2940;STABROEK;STABROEK;Stabroek
2930;BRASSCHAAT;BRASSCHAAT;Brasschaat
2340;BEERSE;BEERSE;Beerse
2000;ALBERTDOK;ANTWERPEN;Antwerpen
2950;MARIABURG;KAPELLEN;Kapellen
2940;HOEVENEN;STABROEK;Stabroek
2350;VOSSELAAR;VOSSELAAR;Vosselaar
2390;OOSTMALLE;MALLE;Malle
2390;WESTMALLE;MALLE;Malle
2400;MOL;MOL;Mol
2340;VLIMMEREN;BEERSE;Beerse
2960;SINT-JOB-IN-'T GOOR;BRECHT;Brecht
2180;EKEREN;ANTWERPEN;Antwerpen
2900;SCHOTEN;SCHOTEN;Schoten
2275;GIERLE;LILLE;Lille
2470;RETIE;RETIE;Retie
2970;SCHILDE;SCHILDE;Schilde
2980;ZOERSEL;ZOERSEL;Zoersel
2970;'S GRAVENWEZEL;SCHILDE;Schilde
2275;WECHELDERZANDE;LILLE;Lille
2460;TIELEN;KASTERLEE;Kasterlee
2275;LILLE;LILLE;Lille
2000;OUDE HAVEN;ANTWERPEN;Antwerpen
2460;KASTERLEE;KASTERLEE;Kasterlee
2480;DESSEL;DESSEL;Dessel
2170;MERKSEM;ANTWERPEN;Antwerpen
2460;LICHTAART;KASTERLEE;Kasterlee
2980;HALLE (ZOERSEL);ZOERSEL;Zoersel
2070;ZWIJNDRECHT;ZWIJNDRECHT;Zwijndrecht
