"","Question_label","Antwoord","Sector","aantal","totaal","percentage"
"1","Beschikbaarheid wildbraad","Belangrijk","Jagers",129,314,"41.1"
"2","Beschikbaarheid wildbraad","Belangrijk","Landbouwers",24,194,"12.4"
"3","Beschikbaarheid wildbraad","Belangrijk","Natuurvereniging",25,130,"19.2"
"4","Beschikbaarheid wildbraad","Erg belangrijk","Jagers",95,314,"30.3"
"5","Beschikbaarheid wildbraad","Erg belangrijk","Landbouwers",19,194," 9.8"
"6","Beschikbaarheid wildbraad","Erg belangrijk","Natuurvereniging",5,130," 3.8"
"7","Beschikbaarheid wildbraad","Geen mening","Jagers",4,314," 1.3"
"8","Beschikbaarheid wildbraad","Geen mening","Landbouwers",8,194," 4.1"
"9","Beschikbaarheid wildbraad","Geen mening","Natuurvereniging",3,130," 2.3"
"10","Beschikbaarheid wildbraad","Helemaal niet belangrijk","Jagers",8,314," 2.5"
"11","Beschikbaarheid wildbraad","Helemaal niet belangrijk","Landbouwers",20,194,"10.3"
"12","Beschikbaarheid wildbraad","Helemaal niet belangrijk","Natuurvereniging",19,130,"14.6"
"13","Beschikbaarheid wildbraad","Neutraal","Jagers",57,314,"18.2"
"14","Beschikbaarheid wildbraad","Neutraal","Landbouwers",61,194,"31.4"
"15","Beschikbaarheid wildbraad","Neutraal","Natuurvereniging",38,130,"29.2"
"16","Beschikbaarheid wildbraad","Niet belangrijk","Jagers",21,314," 6.7"
"17","Beschikbaarheid wildbraad","Niet belangrijk","Landbouwers",62,194,"32.0"
"18","Beschikbaarheid wildbraad","Niet belangrijk","Natuurvereniging",40,130,"30.8"
"19","Gezondheidsrisico mensen","Belangrijk","Jagers",93,314,"29.6"
"20","Gezondheidsrisico mensen","Belangrijk","Landbouwers",38,194,"19.6"
"21","Gezondheidsrisico mensen","Belangrijk","Natuurvereniging",38,130,"29.2"
"22","Gezondheidsrisico mensen","Erg belangrijk","Jagers",140,314,"44.6"
"23","Gezondheidsrisico mensen","Erg belangrijk","Landbouwers",136,194,"70.1"
"24","Gezondheidsrisico mensen","Erg belangrijk","Natuurvereniging",24,130,"18.5"
"25","Gezondheidsrisico mensen","Geen mening","Jagers",5,314," 1.6"
"26","Gezondheidsrisico mensen","Geen mening","Landbouwers",3,194," 1.5"
"27","Gezondheidsrisico mensen","Geen mening","Natuurvereniging",3,130," 2.3"
"28","Gezondheidsrisico mensen","Helemaal niet belangrijk","Jagers",14,314," 4.5"
"29","Gezondheidsrisico mensen","Helemaal niet belangrijk","Landbouwers",2,194," 1.0"
"30","Gezondheidsrisico mensen","Helemaal niet belangrijk","Natuurvereniging",10,130," 7.7"
"31","Gezondheidsrisico mensen","Neutraal","Jagers",48,314,"15.3"
"32","Gezondheidsrisico mensen","Neutraal","Landbouwers",12,194," 6.2"
"33","Gezondheidsrisico mensen","Neutraal","Natuurvereniging",38,130,"29.2"
"34","Gezondheidsrisico mensen","Niet belangrijk","Jagers",14,314," 4.5"
"35","Gezondheidsrisico mensen","Niet belangrijk","Landbouwers",3,194," 1.5"
"36","Gezondheidsrisico mensen","Niet belangrijk","Natuurvereniging",17,130,"13.1"
"37","Gezondheidsrisico vee","Belangrijk","Jagers",120,314,"38.2"
"38","Gezondheidsrisico vee","Belangrijk","Landbouwers",24,194,"12.4"
"39","Gezondheidsrisico vee","Belangrijk","Natuurvereniging",42,130,"32.3"
"40","Gezondheidsrisico vee","Erg belangrijk","Jagers",148,314,"47.1"
"41","Gezondheidsrisico vee","Erg belangrijk","Landbouwers",164,194,"84.5"
