"","Year","GemMet","Score","aantal","Antwoord","totaal","percentage","Sector"
"1",2017,0,-2,46,"Nee, zeker niet",1018," 4.5","Publiek buiten everzwijngebied"
"2",2017,0,-1,254,"Nee, waarschijnlijk niet",1018,"25.0","Publiek buiten everzwijngebied"
"3",2017,0,1,533,"Ja, waarschijnlijk wel",1018,"52.4","Publiek buiten everzwijngebied"
"4",2017,0,2,185,"Ja, zeker wel",1018,"18.2","Publiek buiten everzwijngebied"
"5",2017,1,-2,24,"Nee, zeker niet",411," 5.8","Publiek in everzwijngebied"
"6",2017,1,-1,135,"Nee, waarschijnlijk niet",411,"32.8","Publiek in everzwijngebied"
"7",2017,1,1,194,"Ja, waarschijnlijk wel",411,"47.2","Publiek in everzwijngebied"
"8",2017,1,2,58,"Ja, zeker wel",411,"14.1","Publiek in everzwijngebied"
"9",2020,0,-2,66,"Nee, zeker niet",1031," 6.4","Publiek buiten everzwijngebied"
"10",2020,0,-1,389,"Nee, waarschijnlijk niet",1031,"37.7","Publiek buiten everzwijngebied"
"11",2020,0,1,447,"Ja, waarschijnlijk wel",1031,"43.4","Publiek buiten everzwijngebied"
"12",2020,0,2,129,"Ja, zeker wel",1031,"12.5","Publiek buiten everzwijngebied"
"13",2020,1,-2,118,"Nee, zeker niet",1023,"11.5","Publiek in everzwijngebied"
"14",2020,1,-1,424,"Nee, waarschijnlijk niet",1023,"41.4","Publiek in everzwijngebied"
"15",2020,1,1,362,"Ja, waarschijnlijk wel",1023,"35.4","Publiek in everzwijngebied"
"16",2020,1,2,119,"Ja, zeker wel",1023,"11.6","Publiek in everzwijngebied"
